"site","ranch","treatment","landuse","year","pair_id","Orycteropus_afer","Proteles_cristata","Syncerus_caffer","Civettictis_civetta","Oryx_beisa","Canis_mesomelas","Diceros_bicornis","Sylvicapra_grimmia","Potamochoerus_larvatus","Tragelaphus_sp","Caracal_caracal","Acinonyx_jubatus","Genetta_genetta","Phacochoerus_africanus","Equus_quagga","Hystrix_cristata","Helogale_parvula","Taurotragus_sp","Loxodonta_sp","Litocranius_walleri","Giraffa_camelopardalis","Nanger_granti","Tragelaphus_strepsiceros","Equus_grevyi","Madoqua_guentheri","Mellivora_capensis","Hippopotamus_amphibius","Aepyceros_melampus","Oreotragus_oreotragus","Alcelaphus_buselaphus","Panthera_pardus","Panthera_leo","Papio_anubis","Erythrocebus_patas","Procavia_capensis","Lepus_saxatilis","Leptailurus_serval","Galerella_sanguinea","Crocuta_crocuta","Raphicerus_campestris","Xerus_erythropus","Hyaena_hyaena","Eudorcas_thomsonii","Chlorocebus_pygerythrus","Kobus_ellipsiprymnus","Ichneumia_albicauda","Ceratotherium_simum","Felis_sylvestris","Lycaon_pictus","Ictonyx_striatus","Bos_taurus","Camelus_dromedarius","Capra_hircus","Equus_asinus","Equus_caballus","Ovis_aries","longitude","latitude","annual_rainfall","frac_veg","erosion","root_dep_res_50cm","soil_org_carb","pH","sand","soil_pc1","soil_pc2"
"KEN-006-D0054","Mpala","Conservancy","Conserved",2011,NA,0,0,9.959,0,0,0,0,0,0,0,0,0,0,0,19.917,0,0,0,19.917,0,9.959,0,0,0,14.938,0,0,29.876,0,0,0,0,0,0,0,0,0,0,9.959,0,0,4.979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82789,0.42635,511.203125,0.447892371,0.482,0.472,14.31522043,6.207752,28.01271808,0.352028777,0.260633357
"KEN-006-D0055","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.213,0,16.425,0,0,0,0,0,106.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84142,0.41274,511.7772522,0.326386555,0.634,0.522,12.29271877,6.292821333,30.52536025,1.195165365,0.773358348
"KEN-006-D0056","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.573,0,0,0,0,0,0,0,0,0,5.287,0,0,0,0,0,0,0,0,0,0,5.287,0,0,5.287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.85464,0.4004,512.4192505,0.530139329,0.506,0.344,17.2345941,6.649899667,24.20923025,0.651884331,-0.456930236
"KEN-006-D0057","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.823,0,10.235,0,0,10.235,0,0,0,10.235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.118,0,0,0,0,0,0,0,0,0,0,0,36.85488,0.41259,506.3861694,0.406135991,0.43,0.376,12.93774294,6.509473667,26.98638225,0.676041193,-0.536791704
"KEN-006-D0058","Mpala","Conservancy","Conserved",2011,NA,0,10.257,0,0,0,0,0,0,0,0,0,0,0,0,10.257,0,0,0,20.515,0,15.386,0,0,0,30.772,0,0,56.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.129,0,0,0,0,0,36.85497,0.42601,500.4759216,0.389385368,0.608,0.512,14.49987577,6.158693667,24.98108758,0.422126813,0.776178373
"KEN-006-D0059","Mpala","Conservancy","Conserved",2011,NA,0,0,9.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.143,0,0,14.358,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.84148,0.44408,497.0979004,0.52637804,0.558,0.426,17.0029281,6.524989667,23.59790633,0.598047327,0.196202776
"KEN-006-D0060","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.46,0,0,0,0,0,164.282,0,0,0,0,0,0,0,12.637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8549,0.44422,491.8236694,0.285128893,0.858,0.5,12.3873845,6.494295333,31.218882,2.144518158,0.994428391
"KEN-006-D0061","Mpala","Conservancy","Conserved",2011,NA,0,10.577,0,0,0,5.288,0,0,0,0,0,0,0,5.288,42.307,0,0,0,5.288,0,0,0,0,21.153,121.632,0,0,169.228,0,0,0,0,10.577,0,0,0,0,5.288,5.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8636,0.39952,510.0812378,0.330625664,0.534,0.514,10.70143341,6.736696667,27.25371,1.519678526,0.517185749
"KEN-006-D0062","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.752,0,0,0,5.188,0,0,5.188,0,0,0,0,5.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.752,0,0,0,0,0,36.8686,0.41301,498.3138123,0.417882852,0.702,0.298,11.88301421,6.379003,25.75310283,1.15364157,-0.657625902
"KEN-006-D0063","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,5.117,0,0,0,0,0,0,0,0,5.117,0,0,0,56.283,0,15.35,0,0,15.35,40.933,0,0,15.35,0,0,0,5.117,0,0,0,0,0,0,0,0,0,10.233,0,0,0,0,0,0,0,0,30.7,0,0,0,0,0,36.86824,0.4265,492.456665,0.282334699,0.708,0.426,8.72164056,6.513715667,40.30485492,2.547507114,0.03482609
"KEN-006-D0064","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.684,0,44.527,0,0,0,44.527,0,0,0,0,0,0,0,4.947,0,0,0,0,0,14.842,0,0,0,0,0,0,0,0,0,0,0,19.79,0,0,0,0,0,36.88208,0.42654,489.4559021,0.159621277,0.482,0.504,6.608924484,6.763651,42.27417425,2.622984486,0.112936483
"KEN-006-D0065","Mpala","Conservancy","Conserved",2011,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.884,0,0,0,49.42,0,0,9.884,0,0,0,0,0,0,0,0,0,0,14.826,0,0,0,0,0,0,0,0,0,0,0,9.884,0,0,0,0,0,36.8952,0.4261,484.8681335,0.34413811,0.38,0.256,16.94074571,5.808276667,26.66609533,-0.880944145,-1.31370588
